User,Group,Language Group,Individual,Task,Media Condition,Trial,Order in Total,Gender,User Spoken Language
48A,48,E-L2 vs E-L2,U1,wing,F,3,15,F,Non-Native
48B,48,E-L2 vs E-L2,U2,wing,F,3,15,F,Non-Native
49A,49,E-L2 vs E-L2,U1,eye,A,1,4,M,Non-Native
49B,49,E-L2 vs E-L2,U2,eye,A,1,4,M,Non-Native
49A,49,E-L2 vs E-L2,U1,thumb,F,2,4,M,Non-Native
49B,49,E-L2 vs E-L2,U2,thumb,F,2,4,M,Non-Native
49A,49,E-L2 vs E-L2,U1,wing,V,3,4,M,Non-Native
49B,49,E-L2 vs E-L2,U2,wing,V,3,4,M,Non-Native
50A,50,E-L2 vs E-L2,U1,wing,A,1,12,F,Non-Native
50B,50,E-L2 vs E-L2,U2,wing,A,1,12,F,Non-Native
50A,50,E-L2 vs E-L2,U1,eye,F,2,12,F,Non-Native
50B,50,E-L2 vs E-L2,U2,eye,F,2,12,F,Non-Native
50A,50,E-L2 vs E-L2,U1,thumb,V,3,12,F,Non-Native
50B,50,E-L2 vs E-L2,U2,thumb,V,3,12,F,Non-Native
51A,51,E-L2 vs E-L2,U1,thumb,A,1,7,F,Non-Native
51B,51,E-L2 vs E-L2,U2,thumb,A,1,7,F,Non-Native
51A,51,E-L2 vs E-L2,U1,wing,F,2,7,F,Non-Native
51B,51,E-L2 vs E-L2,U2,wing,F,2,7,F,Non-Native
51A,51,E-L2 vs E-L2,U1,eye,V,3,7,F,Non-Native
51B,51,E-L2 vs E-L2,U2,eye,V,3,7,F,Non-Native
52A,52,E-L2 vs E-L2,U1,thumb,A,1,6,M,Non-Native
52B,52,E-L2 vs E-L2,U2,thumb,A,1,6,M,Non-Native
52A,52,E-L2 vs E-L2,U1,eye,V,2,6,M,Non-Native
52B,52,E-L2 vs E-L2,U2,eye,V,2,6,M,Non-Native
52A,52,E-L2 vs E-L2,U1,wing,F,3,6,M,Non-Native
52B,52,E-L2 vs E-L2,U2,wing,F,3,6,M,Non-Native
53A,53,E-L2 vs E-L2,U1,wing,A,1,2,M,Non-Native
53B,53,E-L2 vs E-L2,U2,wing,A,1,2,M,Non-Native
53A,53,E-L2 vs E-L2,U1,thumb,V,2,2,M,Non-Native
53B,53,E-L2 vs E-L2,U2,thumb,V,2,2,M,Non-Native
53A,53,E-L2 vs E-L2,U1,eye,F,3,2,M,Non-Native
53B,53,E-L2 vs E-L2,U2,eye,F,3,2,M,Non-Native
54A,54,E-L2 vs E-L2,U1,eye,A,1,8,F,Non-Native
54B,54,E-L2 vs E-L2,U2,eye,A,1,8,F,Non-Native
54A,54,E-L2 vs E-L2,U1,wing,V,2,8,F,Non-Native
54B,54,E-L2 vs E-L2,U2,wing,V,2,8,F,Non-Native
54A,54,E-L2 vs E-L2,U1,thumb,F,3,8,F,Non-Native
54B,54,E-L2 vs E-L2,U2,thumb,F,3,8,F,Non-Native
