User,Group,Language Group,Individual,Task,Media Condition,Trial,Order in Total,Gender,idea,group idea,% idea in group
39A,39,E-L2 vs E-L2,U1,wing,V,2,14,F,3,9,33.33333333
39B,39,E-L2 vs E-L2,U2,wing,V,2,14,F,6,9,66.66666667
39A,39,E-L2 vs E-L2,U1,thumb,A,3,14,F,2,3,66.66666667
39B,39,E-L2 vs E-L2,U2,thumb,A,3,14,F,1,3,33.33333333
40A,40,E-L2 vs E-L2,U1,wing,F,1,18,M,4,7,57.14285714
40B,40,E-L2 vs E-L2,U2,wing,F,1,18,F,3,7,42.85714286
40A,40,E-L2 vs E-L2,U1,thumb,A,2,18,M,5,7,71.42857143
40B,40,E-L2 vs E-L2,U2,thumb,A,2,18,F,2,7,28.57142857
40A,40,E-L2 vs E-L2,U1,eye,V,3,18,M,8,13,61.53846154
40B,40,E-L2 vs E-L2,U2,eye,V,3,18,F,5,13,38.46153846
41A,41,E-L2 vs E-L2,U1,eye,F,1,5,F,7,15,46.66666667
41B,41,E-L2 vs E-L2,U2,eye,F,1,5,M,8,15,53.33333333
41A,41,E-L2 vs E-L2,U1,wing,A,2,5,F,6,15,40
41B,41,E-L2 vs E-L2,U2,wing,A,2,5,M,9,15,60
41A,41,E-L2 vs E-L2,U1,thumb,V,3,5,F,7,14,50
41B,41,E-L2 vs E-L2,U2,thumb,V,3,5,M,7,14,50
42A,42,E-L2 vs E-L2,U1,thumb,F,1,13,F,6,12,50
42B,42,E-L2 vs E-L2,U2,thumb,F,1,13,M,6,12,50
42A,42,E-L2 vs E-L2,U1,eye,A,2,13,F,4,8,50
42B,42,E-L2 vs E-L2,U2,eye,A,2,13,M,4,8,50
42A,42,E-L2 vs E-L2,U1,wing,V,3,13,F,6,11,54.54545455
42B,42,E-L2 vs E-L2,U2,wing,V,3,13,M,5,11,45.45454545
43A,43,E-L2 vs E-L2,U1,wing,V,1,11,M,6,14,42.85714286
43B,43,E-L2 vs E-L2,U2,wing,V,1,11,F,8,14,57.14285714
43A,43,E-L2 vs E-L2,U1,thumb,F,2,11,M,4,9,44.44444444
43B,43,E-L2 vs E-L2,U2,thumb,F,2,11,F,5,9,55.55555556
43A,43,E-L2 vs E-L2,U1,eye,A,3,11,M,7,12,58.33333333
43B,43,E-L2 vs E-L2,U2,eye,A,3,11,F,5,12,41.66666667
44A,44,E-L2 vs E-L2,U1,thumb,V,1,3,M,5,14,35.71428571
44B,44,E-L2 vs E-L2,U2,thumb,V,1,3,M,9,14,64.28571429
44A,44,E-L2 vs E-L2,U1,eye,F,2,3,M,7,16,43.75
44B,44,E-L2 vs E-L2,U2,eye,F,2,3,M,9,16,56.25
44A,44,E-L2 vs E-L2,U1,wing,A,3,3,M,6,12,50
44B,44,E-L2 vs E-L2,U2,wing,A,3,3,M,6,12,50
45A,45,E-L2 vs E-L2,U1,eye,V,1,1,M,5,12,41.66666667
45B,45,E-L2 vs E-L2,U2,eye,V,1,1,M,7,12,58.33333333
45A,45,E-L2 vs E-L2,U1,wing,F,2,1,M,5,13,38.46153846
45B,45,E-L2 vs E-L2,U2,wing,F,2,1,M,8,13,61.53846154
45A,45,E-L2 vs E-L2,U1,thumb,A,3,1,M,7,17,41.17647059
45B,45,E-L2 vs E-L2,U2,thumb,A,3,1,M,10,17,58.82352941
46A,46,E-L2 vs E-L2,U1,eye,V,1,17,F,10,17,58.82352941
46B,46,E-L2 vs E-L2,U2,eye,V,1,17,F,7,17,41.17647059
46A,46,E-L2 vs E-L2,U1,wing,A,2,17,F,4,9,44.44444444
46B,46,E-L2 vs E-L2,U2,wing,A,2,17,F,5,9,55.55555556
46A,46,E-L2 vs E-L2,U1,thumb,F,3,17,F,8,11,72.72727273
46B,46,E-L2 vs E-L2,U2,thumb,F,3,17,F,3,11,27.27272727
47A,47,E-L2 vs E-L2,U1,wing,V,1,16,M,1,9,11.11111111
47B,47,E-L2 vs E-L2,U2,wing,V,1,16,F,8,9,88.88888889
47A,47,E-L2 vs E-L2,U1,thumb,A,2,16,M,3,8,37.5
47B,47,E-L2 vs E-L2,U2,thumb,A,2,16,F,5,8,62.5
47A,47,E-L2 vs E-L2,U1,eye,F,3,16,M,6,8,75
47B,47,E-L2 vs E-L2,U2,eye,F,3,16,F,2,8,25
48A,48,E-L2 vs E-L2,U1,thumb,V,1,15,F,6,11,54.54545455
48B,48,E-L2 vs E-L2,U2,thumb,V,1,15,F,5,11,45.45454545
48A,48,E-L2 vs E-L2,U1,eye,A,2,15,F,5,11,45.45454545
48B,48,E-L2 vs E-L2,U2,eye,A,2,15,F,6,11,54.54545455
48A,48,E-L2 vs E-L2,U1,wing,F,3,15,F,8,13,61.53846154
48B,48,E-L2 vs E-L2,U2,wing,F,3,15,F,5,13,38.46153846
49A,49,E-L2 vs E-L2,U1,eye,A,1,4,M,7,10,70
49B,49,E-L2 vs E-L2,U2,eye,A,1,4,M,3,10,30
49A,49,E-L2 vs E-L2,U1,thumb,F,2,4,M,4,10,40
49B,49,E-L2 vs E-L2,U2,thumb,F,2,4,M,6,10,60
49A,49,E-L2 vs E-L2,U1,wing,V,3,4,M,4,10,40
49B,49,E-L2 vs E-L2,U2,wing,V,3,4,M,6,10,60
50A,50,E-L2 vs E-L2,U1,wing,A,1,12,F,6,11,54.54545455
50B,50,E-L2 vs E-L2,U2,wing,A,1,12,F,5,11,45.45454545
50A,50,E-L2 vs E-L2,U1,eye,F,2,12,F,2,6,33.33333333
50B,50,E-L2 vs E-L2,U2,eye,F,2,12,F,4,6,66.66666667
50A,50,E-L2 vs E-L2,U1,thumb,V,3,12,F,6,13,46.15384615
50B,50,E-L2 vs E-L2,U2,thumb,V,3,12,F,7,13,53.84615385
51A,51,E-L2 vs E-L2,U1,thumb,A,1,7,F,4,7,57.14285714
51B,51,E-L2 vs E-L2,U2,thumb,A,1,7,F,3,7,42.85714286
51A,51,E-L2 vs E-L2,U1,wing,F,2,7,F,3,8,37.5
51B,51,E-L2 vs E-L2,U2,wing,F,2,7,F,5,8,62.5
51A,51,E-L2 vs E-L2,U1,eye,V,3,7,F,5,11,45.45454545
51B,51,E-L2 vs E-L2,U2,eye,V,3,7,F,6,11,54.54545455
52A,52,E-L2 vs E-L2,U1,thumb,A,1,6,M,7,10,70
52B,52,E-L2 vs E-L2,U2,thumb,A,1,6,M,3,10,30
52A,52,E-L2 vs E-L2,U1,eye,V,2,6,M,6,12,50
52B,52,E-L2 vs E-L2,U2,eye,V,2,6,M,6,12,50
52A,52,E-L2 vs E-L2,U1,wing,F,3,6,M,2,10,20
52B,52,E-L2 vs E-L2,U2,wing,F,3,6,M,8,10,80
53A,53,E-L2 vs E-L2,U1,wing,A,1,2,M,4,7,57.14285714
53B,53,E-L2 vs E-L2,U2,wing,A,1,2,M,3,7,42.85714286
53A,53,E-L2 vs E-L2,U1,thumb,V,2,2,M,5,13,38.46153846
53B,53,E-L2 vs E-L2,U2,thumb,V,2,2,M,8,13,61.53846154
53A,53,E-L2 vs E-L2,U1,eye,F,3,2,M,5,9,55.55555556
53B,53,E-L2 vs E-L2,U2,eye,F,3,2,M,4,9,44.44444444
54A,54,E-L2 vs E-L2,U1,eye,A,1,8,F,9,17,52.94117647
54B,54,E-L2 vs E-L2,U2,eye,A,1,8,F,8,17,47.05882353
54A,54,E-L2 vs E-L2,U1,wing,V,2,8,F,8,17,47.05882353
54B,54,E-L2 vs E-L2,U2,wing,V,2,8,F,9,17,52.94117647
54A,54,E-L2 vs E-L2,U1,thumb,F,3,8,F,9,14,64.28571429
54B,54,E-L2 vs E-L2,U2,thumb,F,3,8,F,5,14,35.71428571
