User,Group,Language Group,Individual,Task,Media Condition,Trial,Order in Total,Gender,User Spoken Language,0.0(threshold)_UnitMotion_time (second),0.05_(threshold)_UnitMotion_time (second),0.1_(threshold)_UnitMotion_time (second),percenatge of 0.1 th gesture usage time,0.15_(threshold)_UnitMotion_time (second),percenatge of 0.15 th gesture usage time,0.2_(threshold)_UnitMotion_time (second),percenatge of 0.2 th gesture usage time,0.25_(threshold)_UnitMotion_time (second),percenatge of 0.25 th gesture usage time,0.3_(threshold)_UnitMotion_time (second),percenatge of 0.3 th gesture usage time,0.35_(threshold)_UnitMotion_time (second),percenatge of 0.35 th gesture usage time,0.4_(threshold)_UnitMotion_time (second),percenatge of 0.4 th gesture usage time,0.45_(threshold)_UnitMotion_time (second),0.5_(threshold)_UnitMotion_time (second),0.1_threshold_UnitMotion_averageTime,0.15_threshold_UnitMotion_averageTime,0.2_threshold_UnitMotion_averageTime,0.25_threshold_UnitMotion_averageTime,0.3_threshold_UnitMotion_averageTime,0.35_threshold_UnitMotion_averageTime,0.4_threshold_UnitMotion_averageTime
7B,7,E-L1 vs E-L2,U2,wing,V,1,14,M,Native,604.415,303.82,251.441,0.419068333,295.449,0.492415,120.686,0.201143333,71.92,0.119866667,20.437,0.034061667,161.121,0.268535,15.111,0.025185,0.171,1.908,1.030495902,3.143074468,2.462979592,2.8768,1.362466667,17.90233333,2.158714286
7A,7,E-L1 vs E-L2,U1,thumb,F,2,14,M,Non-Native,603.594,282.66,284.248,0.473746667,244.974,0.40829,384.507,0.640845,343.659,0.572765,211.751,0.352918333,235.953,0.393255,0,0,0,0,1.414169154,3.02437037,12.40345161,20.21523529,30.25014286,117.9765,0
7B,7,E-L1 vs E-L2,U2,thumb,F,2,14,M,Native,603.562,299.273,313.495,0.522491667,262.225,0.437041667,305.063,0.508438333,383.964,0.63994,235.521,0.392535,261.171,0.435285,135.182,0.225303333,0,0,1.37497807,4.162301587,13.8665,42.66266667,39.2535,261.171,135.182
7A,7,E-L1 vs E-L2,U1,eye,A,3,14,M,Non-Native,604.558,196.831,286.24,0.477066667,264.037,0.440061667,273.309,0.455515,345.561,0.575935,209.815,0.349691667,0,0,0,0,0,0,1.350188679,2.422357798,8.0385,86.39025,209.815,0,0
7B,7,E-L1 vs E-L2,U2,eye,A,3,14,M,Native,604.562,238.301,354.897,0.591495,306.3,0.5105,262.601,0.437668333,234.786,0.39131,30.665,0.051108333,0,0,0,0,0,0,4.609051948,13.3173913,21.88341667,58.6965,30.665,0,0
8A,8,E-L1 vs E-L2,U1,thumb,V,1,17,F,Native,604.737,333.322,165.509,0.275848333,295.223,0.492038333,304.665,0.507775,344.585,0.574308333,120.329,0.200548333,110.497,0.184161667,23.02,0.038366667,2.159,0.088,1.902402299,7.769026316,13.24630435,21.5365625,12.0329,18.41616667,4.604
8B,8,E-L1 vs E-L2,U2,thumb,V,1,17,M,Non-Native,604.163,335.355,301.909,0.503181667,250.883,0.418138333,316.824,0.52804,141.637,0.236061667,247.381,0.412301667,0.065,0.000108333,0,0,0,0,2.012726667,4.112836066,15.08685714,17.704625,82.46033333,0.065,0
8A,8,E-L1 vs E-L2,U1,eye,F,2,17,F,Native,604.557,318.831,367.942,0.613236667,418.714,0.697856667,0.069,0.000115,0.069,0.000115,0,0,0,0,0,0,0,0,7.075807692,41.8714,0.069,0.069,0,0,0
8B,8,E-L1 vs E-L2,U2,eye,F,2,17,M,Non-Native,604.567,278.401,248.693,0.414488333,307.02,0.5117,267.737,0.446228333,266.412,0.44402,139.414,0.232356667,0,0,0,0,0,0,2.391278846,9.03,19.12407143,44.402,139.414,0,0
8A,8,E-L1 vs E-L2,U1,wing,A,3,17,F,Native,604.564,311.98,230.887,0.384811667,192.328,0.320546667,69.304,0.115506667,75.749,0.126248333,0,0,0,0,0,0,0,0,4.356358491,12.82186667,17.326,75.749,0,0,0
