User,Group,Language Group,Individual,Task,Media Condition,Trial,Order in Total,Gender,User Spoken Language,0.0_unitmotion_counts (Threshold = 0.0),0.05_unitmotion_counts (Threshold = 0.05),0.1_unitmotion_counts (Threshold = 0.1),0.15_unitmotion_counts (Threshold = 0.15),0.2_unitmotion_counts (Threshold = 0.2),0.25_unitmotion_counts (Threshold = 0.25),0.3_unitmotion_counts (Threshold = 0.3),0.35_unitmotion_counts (Threshold = 0.35),0.4_unitmotion_counts (Threshold = 0.4),0.45_unitmotion_counts (Threshold = 0.45),0.5_unitmotion_counts (Threshold = 0.5)
13A,13,E-L1 vs E-L2,U1,wing,V,3,9,F,Non-Native,1,524,197,93,38,17,5,4,2,2,2
13B,13,E-L1 vs E-L2,U2,wing,V,3,9,M,Native,1,784,145,25,10,3,2,1,0,0,0
14A,14,E-L1 vs E-L2,U1,wing,A,1,15,F,Non-Native,1,792,263,109,43,19,9,3,0,0,0
14B,14,E-L1 vs E-L2,U2,wing,A,1,15,M,Native,1,674,134,44,22,9,2,0,0,0,0
14A,14,E-L1 vs E-L2,U1,eye,F,2,15,F,Non-Native,1,727,142,55,17,8,3,2,0,0,0
14B,14,E-L1 vs E-L2,U2,eye,F,2,15,M,Native,1,870,352,146,63,22,3,0,0,0,0
14A,14,E-L1 vs E-L2,U1,thumb,V,3,15,F,Non-Native,1,916,304,134,73,40,19,7,3,0,0
14B,14,E-L1 vs E-L2,U2,thumb,V,3,15,M,Native,1,873,244,83,38,17,10,6,2,0,0
15A,15,E-L1 vs E-L2,U1,thumb,A,1,18,F,Non-Native,1,781,225,88,34,11,4,2,0,0,0
15B,15,E-L1 vs E-L2,U2,thumb,A,1,18,M,Native,1,442,157,79,37,21,8,4,1,1,0
15A,15,E-L1 vs E-L2,U1,wing,F,2,18,F,Non-Native,1,469,66,23,13,4,0,0,0,0,0
15B,15,E-L1 vs E-L2,U2,wing,F,2,18,M,Native,1,826,225,79,36,14,6,3,2,0,0
15A,15,E-L1 vs E-L2,U1,eye,V,3,18,F,Non-Native,1,666,199,93,45,27,12,6,4,2,2
15B,15,E-L1 vs E-L2,U2,eye,V,3,18,M,Native,1,812,285,118,53,28,11,4,2,2,1
16A,16,E-L1 vs E-L2,U1,thumb,A,1,11,M,Non-Native,1,576,189,82,28,8,3,0,0,0,0
16B,16,E-L1 vs E-L2,U2,thumb,A,1,11,F,Native,1,473,119,41,23,8,4,1,0,0,0
16A,16,E-L1 vs E-L2,U1,eye,V,2,11,M,Non-Native,1,649,257,150,103,69,51,40,30,27,22
16B,16,E-L1 vs E-L2,U2,eye,V,2,11,F,Native,1,637,162,69,44,25,18,14,8,4,1
16A,16,E-L1 vs E-L2,U1,wing,F,3,11,M,Non-Native,1,482,137,41,20,11,4,3,1,0,0
16B,16,E-L1 vs E-L2,U2,wing,F,3,11,F,Native,1,708,187,71,27,17,8,6,2,0,0
17A,17,E-L1 vs E-L2,U1,wing,A,1,12,M,Native,1,756,283,100,14,5,1,0,0,0,0
17B,17,E-L1 vs E-L2,U2,wing,A,1,12,F,Non-Native,1,376,109,47,19,9,3,2,1,0,0
17A,17,E-L1 vs E-L2,U1,thumb,V,2,12,M,Native,1,803,320,151,79,42,18,7,1,0,0
17B,17,E-L1 vs E-L2,U2,thumb,V,2,12,F,Non-Native,1,403,119,58,34,15,5,3,0,0,0
17A,17,E-L1 vs E-L2,U1,eye,F,3,12,M,Native,1,587,145,59,27,8,3,0,0,0,0
17B,17,E-L1 vs E-L2,U2,eye,F,3,12,F,Non-Native,1,290,118,55,27,10,1,0,0,0,0
18A,18,E-L1 vs E-L2,U1,eye,A,1,10,F,Non-Native,1,1116,435,204,100,53,22,5,0,0,0
18B,18,E-L1 vs E-L2,U2,eye,A,1,10,M,Native,1,445,97,13,3,1,0,0,0,0,0
18A,18,E-L1 vs E-L2,U1,wing,V,2,10,F,Non-Native,1,821,247,110,53,24,8,5,2,2,1
18B,18,E-L1 vs E-L2,U2,wing,V,2,10,M,Native,1,570,100,29,8,3,0,0,0,0,0
18A,18,E-L1 vs E-L2,U1,thumb,F,3,10,F,Non-Native,1,793,248,111,56,27,10,2,0,0,0
18B,18,E-L1 vs E-L2,U2,thumb,F,3,10,M,Native,1,782,227,79,36,18,6,3,1,0,0
37A,37,E-L2 vs E-L2,U1,wing,F,1,10,F,Non-Native,1,634,215,96,41,15,5,2,0,0,0
37B,37,E-L2 vs E-L2,U2,wing,F,1,10,F,Non-Native,1,522,185,80,42,19,11,4,0,0,0
37A,37,E-L2 vs E-L2,U1,thumb,V,2,10,F,Non-Native,1,711,232,99,47,21,10,5,2,0,0
37B,37,E-L2 vs E-L2,U2,thumb,V,2,10,F,Non-Native,1,577,132,40,20,11,7,4,2,2,1
37A,37,E-L2 vs E-L2,U1,eye,A,3,10,F,Non-Native,1,446,169,65,29,12,5,1,0,0,0
37B,37,E-L2 vs E-L2,U2,eye,A,3,10,F,Non-Native,1,315,57,24,12,8,4,2,0,0,0
38A,38,E-L2 vs E-L2,U1,thumb,F,1,9,F,Non-Native,1,500,121,36,17,7,3,2,0,0,0
38B,38,E-L2 vs E-L2,U2,thumb,F,1,9,F,Non-Native,1,683,210,94,36,14,4,2,0,0,0
38A,38,E-L2 vs E-L2,U1,eye,V,2,9,F,Non-Native,1,351,92,34,22,15,7,3,2,1,0
38B,38,E-L2 vs E-L2,U2,eye,V,2,9,F,Non-Native,1,918,284,98,49,31,20,15,12,7,0
38A,38,E-L2 vs E-L2,U1,wing,A,3,9,F,Non-Native,1,574,154,70,32,15,6,2,0,0,0
38B,38,E-L2 vs E-L2,U2,wing,A,3,9,F,Non-Native,1,872,298,138,53,27,15,7,2,1,0
39A,39,E-L2 vs E-L2,U1,eye,F,1,14,F,Non-Native,1,659,210,89,35,8,1,0,0,0,0
39B,39,E-L2 vs E-L2,U2,eye,F,1,14,F,Non-Native,1,582,179,73,31,11,3,0,0,0,0
39A,39,E-L2 vs E-L2,U1,wing,V,2,14,F,Non-Native,1,997,443,224,141,80,52,34,21,13,6
39B,39,E-L2 vs E-L2,U2,wing,V,2,14,F,Non-Native,1,1056,331,153,83,41,22,9,4,2,1
39A,39,E-L2 vs E-L2,U1,thumb,A,3,14,F,Non-Native,1,1059,346,128,42,16,6,2,1,0,0
39B,39,E-L2 vs E-L2,U2,thumb,A,3,14,F,Non-Native,1,568,172,77,39,16,4,1,1,0,0
40A,40,E-L2 vs E-L2,U1,wing,F,1,18,M,Non-Native,1,472,83,29,10,7,4,2,1,1,1
40B,40,E-L2 vs E-L2,U2,wing,F,1,18,F,Non-Native,1,272,80,34,10,2,0,0,0,0,0
40A,40,E-L2 vs E-L2,U1,thumb,A,2,18,M,Non-Native,1,420,114,50,33,21,8,1,0,0,0
40B,40,E-L2 vs E-L2,U2,thumb,A,2,18,F,Non-Native,1,405,123,47,23,9,3,1,0,0,0
40A,40,E-L2 vs E-L2,U1,eye,V,3,18,M,Non-Native,1,555,137,58,30,19,13,4,1,0,0
40B,40,E-L2 vs E-L2,U2,eye,V,3,18,F,Non-Native,1,312,83,34,15,8,5,2,0,0,0
41A,41,E-L2 vs E-L2,U1,eye,F,1,5,F,Non-Native,1,426,127,54,22,8,3,2,1,0,0
41B,41,E-L2 vs E-L2,U2,eye,F,1,5,M,Non-Native,1,139,28,8,2,0,0,0,0,0,0
41A,41,E-L2 vs E-L2,U1,wing,A,2,5,F,Non-Native,1,372,81,25,13,5,2,1,0,0,0
41B,41,E-L2 vs E-L2,U2,wing,A,2,5,M,Non-Native,1,465,152,47,15,6,3,1,0,0,0
41A,41,E-L2 vs E-L2,U1,thumb,V,3,5,F,Non-Native,1,703,292,152,89,51,26,8,3,2,1
41B,41,E-L2 vs E-L2,U2,thumb,V,3,5,M,Non-Native,1,678,186,72,34,17,5,1,0,0,0
42A,42,E-L2 vs E-L2,U1,thumb,F,1,13,F,Non-Native,1,460,73,16,3,1,0,0,0,0,0
42B,42,E-L2 vs E-L2,U2,thumb,F,1,13,M,Non-Native,1,859,341,149,75,28,10,4,1,0,0
42A,42,E-L2 vs E-L2,U1,eye,A,2,13,F,Non-Native,1,625,131,28,11,4,2,0,0,0,0
42B,42,E-L2 vs E-L2,U2,eye,A,2,13,M,Non-Native,1,903,430,199,80,39,15,5,1,0,0
42A,42,E-L2 vs E-L2,U1,wing,V,3,13,F,Non-Native,1,387,166,94,43,7,2,1,1,1,1
42B,42,E-L2 vs E-L2,U2,wing,V,3,13,M,Non-Native,1,1044,353,109,42,22,10,4,2,1,1
43A,43,E-L2 vs E-L2,U1,wing,V,1,11,M,Non-Native,1,520,164,72,32,11,3,1,0,0,0
43B,43,E-L2 vs E-L2,U2,wing,V,1,11,F,Non-Native,1,258,57,30,16,6,4,3,1,1,1
43A,43,E-L2 vs E-L2,U1,thumb,F,2,11,M,Non-Native,1,167,57,23,13,6,2,1,0,0,0
43B,43,E-L2 vs E-L2,U2,thumb,F,2,11,F,Non-Native,1,526,153,73,31,16,4,2,0,0,0
43A,43,E-L2 vs E-L2,U1,eye,A,3,11,M,Non-Native,1,602,125,41,15,8,7,4,0,0,0
43B,43,E-L2 vs E-L2,U2,eye,A,3,11,F,Non-Native,1,507,149,73,31,14,6,2,0,0,0
44A,44,E-L2 vs E-L2,U1,thumb,V,1,3,M,Non-Native,1,296,113,71,36,17,10,4,2,1,1
44B,44,E-L2 vs E-L2,U2,thumb,V,1,3,M,Non-Native,1,492,194,80,36,18,8,5,4,1,0
44A,44,E-L2 vs E-L2,U1,eye,F,2,3,M,Non-Native,1,561,216,75,40,20,11,7,4,3,0
44B,44,E-L2 vs E-L2,U2,eye,F,2,3,M,Non-Native,1,648,168,67,30,10,1,0,0,0,0
